0,0.245287,0.804251,0.174484
1,0.969521,0.225485,0.869218
2,0.281466,0.725420,0.752380
3,0.246671,0.771765,0.085679
4,0.891408,0.218040,0.934470
5,0.090586,0.807270,0.389668
6,0.943994,0.016885,0.541551
7,0.291676,0.859183,0.504463
8,0.719112,0.311447,0.265599
9,0.184004,0.319456,0.726142
10,0.907707,0.469441,0.111291
11,0.264553,0.681577,0.991741
12,0.064133,0.475545,0.162279
13,0.701221,0.812749,0.630415
14,0.293512,0.687748,0.208622
15,0.369940,0.616727,0.831305
16,0.354112,0.571731,0.211875
17,0.968594,0.293015,0.215702
18,0.718555,0.501398,0.147500
19,0.249001,0.695464,0.894694
20,0.807192,0.084025,0.865865
21,0.262080,0.914139,0.222424
22,0.414751,0.578252,0.632687
23,0.210669,0.048636,0.617664
24,0.321141,0.027440,0.539576
25,0.335097,0.904788,0.499797
26,0.967092,0.007803,0.571156
27,0.353856,0.324351,0.797470
28,0.334705,0.301807,0.599676
29,0.211360,0.744130,0.512938
30,0.455480,0.379157,0.993299
31,0.055556,0.708686,0.972032
32,0.058006,0.304190,0.442918
33,0.938104,0.970316,0.819715
34,0.122779,0.520162,0.181466
35,0.531781,0.227615,0.092692
36,0.926365,0.641560,0.393655
37,0.560306,0.361011,0.657728
38,0.146744,0.965583,0.955374
39,0.324392,0.801766,0.838548
40,0.163480,0.212438,0.777473
41,0.816759,0.867363,0.371858
42,0.055078,0.813576,0.172334
43,0.064631,0.639122,0.919440
44,0.310355,0.139340,0.890746
45,0.563897,0.789776,0.963258
46,0.250406,0.121701,0.237326
47,0.438453,0.930654,0.573511
48,0.426467,0.119572,0.293080
49,0.791163,0.669841,0.370339
50,0.762346,0.877489,0.073932
51,0.583287,0.201527,0.350350
52,0.581738,0.100804,0.028117
53,0.722328,0.895550,0.585593
54,0.327411,0.835263,0.241281
55,0.164697,0.974254,0.157416
56,0.584693,0.326481,0.754283
57,0.134527,0.871619,0.418674
58,0.679476,0.039670,0.873026
59,0.016881,0.447324,0.176890
60,0.494927,0.960681,0.897922
61,0.401868,0.831872,0.766127
62,0.681219,0.829291,0.519899
63,0.760972,0.302177,0.453724
64,0.402061,0.411444,0.969341
65,0.690184,0.932393,0.972756
66,0.858407,0.844335,0.437991
67,0.462700,0.470838,0.904592
68,0.148429,0.196160,0.786796
69,0.840572,0.506679,0.701541
70,0.512910,0.865310,0.857724
71,0.041821,0.427817,0.704302
72,0.632891,0.450905,0.005542
73,0.808892,0.265875,0.208905
74,0.659497,0.278800,0.932490
75,0.022622,0.801367,0.607222
76,0.153924,0.985518,0.838792
77,0.004953,0.380775,0.466071
78,0.171013,0.259310,0.294928
79,0.526249,0.628742,0.138241
80,0.961380,0.251931,0.648650
81,0.994598,0.227321,0.172888
82,0.706780,0.750513,0.062961
83,0.083473,0.990091,0.606643
84,0.517876,0.690100,0.614336
85,0.234825,0.108265,0.733059
86,0.857863,0.150573,0.412313
87,0.828625,0.806034,0.821345
88,0.843188,0.377695,0.172825
89,0.078290,0.379260,0.847366
90,0.950690,0.002045,0.456544
91,0.026358,0.374025,0.110761
92,0.572235,0.433443,0.896564
93,0.675449,0.926846,0.310529
94,0.021688,0.393704,0.940168
95,0.929885,0.233329,0.166409
96,0.185002,0.975961,0.410421
97,0.494668,0.751568,0.639029
98,0.702282,0.213210,0.511151
99,0.915409,0.825027,0.221083
100,0.930377,0.306967,0.921249
101,0.729401,0.960755,0.356767
102,0.051888,0.572840,0.618574
103,0.525780,0.552858,0.302364
104,0.050980,0.043961,0.474989
105,0.423630,0.293975,0.150436
106,0.366361,0.357780,0.162413
107,0.770765,0.845482,0.731705
108,0.330426,0.369016,0.554951
109,0.907351,0.285621,0.481362
110,0.724421,0.057918,0.371493
111,0.328300,0.827805,0.030130
112,0.543893,0.037771,0.322132
113,0.743376,0.783224,0.437345
114,0.064717,0.487044,0.962885
115,0.800555,0.850273,0.339172
116,0.766522,0.095159,0.680020
117,0.021245,0.141631,0.918466
118,0.191340,0.181081,0.574657
119,0.141342,0.057944,0.758683
